Tue Feb 13 16:01:21 2024    ./cprof/stencil/output0.pstats

         56252276 function calls (56252212 primitive calls) in 98.858 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:771(getenv)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.9/queue.py:209(_qsize)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/queue.py:122(put)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:259(__exit__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.9/os.py:754(encode)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:1039(_wait_for_tstate_lock)
       73    0.000    0.000    0.000    0.000 {method 'Get_size' of 'mpi4py.MPI.Comm' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/ctypes/__init__.py:509(cast)
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:1105(<listcomp>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1510(findCaller)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1685(isEnabledFor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:966(_stop)
       40    0.000    0.000    0.000    0.000 {method 'Get_rank' of 'mpi4py.MPI.Comm' objects}
        5    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/torcpy/runtime.py:110(worker_local_id)
       37    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:993(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:521(__init__)
       49    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       36    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/logging/__init__.py:1056(flush)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/threading.py:351(notify)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:403(_get_formatdict)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.9/posixpath.py:140(basename)
       37    0.000    0.000    0.000    0.000 /home/mmr.pinto/.local/lib/python3.9/site-packages/numpy/core/arrayprint.py:994(<genexpr>)
